story:  John didn't know he was being followed. "When he got on the train, a man approached him." He handed John a small piece of paper. It said RAVINCORP in bold letters. "John had been offered a job by the CIA, he just didn't know it yet."	 query:event: The man was holding a piece of paper starts before He hand John a small piece of paper  	pred: negative	 label: positive
story:  Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired.	 query:event: Paul is not friendly. starts after Paul hat his job  	pred: negative	 label: positive
story:  Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired.	 query:event: Paul is not friendly. starts before Paul hat his job  	pred: positive	 label: negative
story:  Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired.	 query:event: Paul's coworkers do not like him. starts after Paul hat his job  	pred: negative	 label: positive
story:  Paul hates his job. Everyday at work he gets angry and says mean things to people. Paul's boss gave him a verbal warning about his attitude at work. Currently Paul is on a performance plan at work. Next month Paul will be fired.	 query:event: Paul's coworkers do not like him. starts before Paul hat his job  	pred: positive	 label: negative
story:  Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead.	 query:event: Dial up internet is not as good starts before Tim visit his grandparents  	pred: negative	 label: positive
story:  Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead.	 query:event: Dial up internet is not as good starts after Tim visit his grandparents  	pred: positive	 label: negative
story:  The guy who saved my car had acted quickly. We decided to fish together and pool our knowledge. The fish like to hang out in a weedy area of the lake. He used one side and I got the other. "Between use, we caught 40 bluegill."	 query:event: The guy who saved my car is alive starts before We decide to fish together and pool our knowledge  	pred: negative	 label: positive
story:  The guy who saved my car had acted quickly. We decided to fish together and pool our knowledge. The fish like to hang out in a weedy area of the lake. He used one side and I got the other. "Between use, we caught 40 bluegill."	 query:event: The guy who saved my car is alive starts after We decide to fish together and pool our knowledge  	pred: positive	 label: negative
story:  Michael was playing ball with his friends. His friend tossed the ball to him. Instead, it landed up on the roof. Michael decided to climb up to get it. Luckily, he was able to find it.	 query:event: A neighbor shouted at Michael to get down starts after Michael decide to climb up to get it  	pred: negative	 label: positive
story:  Michael was playing ball with his friends. His friend tossed the ball to him. Instead, it landed up on the roof. Michael decided to climb up to get it. Luckily, he was able to find it.	 query:event: A neighbor shouted at Michael to get down starts before Michael decide to climb up to get it  	pred: positive	 label: negative
story:  Juan worked for a local landscaping company. One day he was trimming hedges in a flower bed. He did not see the coral snake in the flower bed. The coral snake bit Juan on his ankle. Juan could not work for several days because of the snake bite.	 query:event: Juan was holding a hedge trimmer. starts before he trim hedges in a flower bed  	pred: negative	 label: positive
story:  Juan worked for a local landscaping company. One day he was trimming hedges in a flower bed. He did not see the coral snake in the flower bed. The coral snake bit Juan on his ankle. Juan could not work for several days because of the snake bite.	 query:event: Juan was holding a hedge trimmer. starts after he trim hedges in a flower bed  	pred: positive	 label: negative
story:  Jenny's dad took her to the pound to pick out a kitten. She found the perfect kitten but there was a problem. Her kitten was in the same cage as a friend. She didn't want to break them up. She was delighted when her dad said they could take both home.	 query:event: Jenny's dad could afford both kittens. starts before She find the perfect kitten  	pred: negative	 label: positive
story:  Jenny's dad took her to the pound to pick out a kitten. She found the perfect kitten but there was a problem. Her kitten was in the same cage as a friend. She didn't want to break them up. She was delighted when her dad said they could take both home.	 query:event: Jenny's dad could afford both kittens. starts after She find the perfect kitten  	pred: positive	 label: negative
story:  I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee.	 query:event: The speaker enjoys collecting pint glasses starts before seeing a new employee and buying a tour  	pred: negative	 label: positive
story:  I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee.	 query:event: The speaker enjoys collecting pint glasses starts after seeing a new employee and buying a tour  	pred: positive	 label: negative
story:  Brent is an avid hunter. Brent wanted to shoot a deer. Brent put on his camouflage gear. Brent was not able to hunt a deer. Brent went home disappointed.	 query:event: Brent brought his hunting gear with him. starts after Brent put on his camouflage gear.  	pred: negative	 label: positive
story:  Brent is an avid hunter. Brent wanted to shoot a deer. Brent put on his camouflage gear. Brent was not able to hunt a deer. Brent went home disappointed.	 query:event: Brent brought his hunting gear with him. starts before Brent put on his camouflage gear.  	pred: positive	 label: negative
story:  Ron and Hermione reunited for the first time in a decade. Ron complimented Harmony on how fit she'd stayed. Harmony noted how dapper Ron looked. The old friends shared a quiet cup of tea. They sipped their drinks and watched the storm rage outside the cafe.	 query:event: Hermione felt a little proud. starts before the old friends shared a quiet cup of tea  	pred: negative	 label: positive
story:  Ron and Hermione reunited for the first time in a decade. Ron complimented Harmony on how fit she'd stayed. Harmony noted how dapper Ron looked. The old friends shared a quiet cup of tea. They sipped their drinks and watched the storm rage outside the cafe.	 query:event: Hermione felt a little proud. starts after the old friends shared a quiet cup of tea  	pred: positive	 label: negative
story:  Bill loved to play in the forest. "One day, while playing a game, bill got himself lost." He walked around the forest for hours. "Finally, his mother came into the forest and brought bill back home." Bill was happy to be home with his mother!	 query:event: Bill was afraid starts before bill got himself lost  	pred: positive	 label: negative
story:  Burt left his car windows down one sunny day in New Jersey. The weather changed and soon it started to downpour. Burt ran to his car and rolled up his windows during the storm. The inside was not very wet yet. Burt sighed in relief and vowed to never be so foolish again.	 query:event: Burt looked out the window. starts before Burt roll his windows  	pred: negative	 label: positive
story:  Burt left his car windows down one sunny day in New Jersey. The weather changed and soon it started to downpour. Burt ran to his car and rolled up his windows during the storm. The inside was not very wet yet. Burt sighed in relief and vowed to never be so foolish again.	 query:event: Burt looked out the window. starts after Burt roll his windows  	pred: positive	 label: negative
story:  Josh loved to eat steak. His wife did not like steak. Josh wanted to get a good steak. He left his wife to go to the steakhouse. Now he is filing for divorce.	 query:event: Josh and his wife were having marital problems starts before do  	pred: negative	 label: positive
story:  Josh loved to eat steak. His wife did not like steak. Josh wanted to get a good steak. He left his wife to go to the steakhouse. Now he is filing for divorce.	 query:event: Josh and his wife were having marital problems starts after do  	pred: positive	 label: negative
story:  Lagertha didn't like being told what to do. Her mother told her to clean her room. "Lagertha refused, and went outside to play with her friends." "When she returned at dusk, there was candy and roast lamb to eat." "Her mother forbid her to have any though, and sent her to her room."	 query:event: The mom cooked dinner all day starts after Lagethera refused to clean her room and left  	pred: negative	 label: positive
story:  Lagertha didn't like being told what to do. Her mother told her to clean her room. "Lagertha refused, and went outside to play with her friends." "When she returned at dusk, there was candy and roast lamb to eat." "Her mother forbid her to have any though, and sent her to her room."	 query:event: The mom cooked dinner all day starts before Lagethera refused to clean her room and left  	pred: positive	 label: negative
story:  Jenny could not get the thought of a cheeseburger out of her mind. Jenny logged onto Yelp to find out where to get the best cheeseburger. Jenny located a fast food restaurant nearby that had good ratings. Jenny got into her car and drove to the fast food restaurant. Jenny ordered a cheeseburger and ate it in her car.	 query:event: Jenny was at home starts before Jenny locate a fast food restaurant nearby that had good ratings  	pred: negative	 label: positive
story:  Jenny could not get the thought of a cheeseburger out of her mind. Jenny logged onto Yelp to find out where to get the best cheeseburger. Jenny located a fast food restaurant nearby that had good ratings. Jenny got into her car and drove to the fast food restaurant. Jenny ordered a cheeseburger and ate it in her car.	 query:event: Jenny was at home starts after Jenny locate a fast food restaurant nearby that had good ratings  	pred: positive	 label: negative
story:  Brittany needs money for bills. She checked her bank account but it was empty. Brittany decided she needed another job. Brittany decided to use Amazon Mechanical Turk! "Now, Brittany has a great job, and can pay all of her bills!"	 query:event: Brittany looked up ways to make money online starts after She check her bank account  	pred: negative	 label: positive
story:  Brittany needs money for bills. She checked her bank account but it was empty. Brittany decided she needed another job. Brittany decided to use Amazon Mechanical Turk! "Now, Brittany has a great job, and can pay all of her bills!"	 query:event: Brittany looked up ways to make money online starts before She check her bank account  	pred: positive	 label: negative
story:  Jill is driving down the road. Her car starts to make a strange noise. She pulls over and checks the hood. It's smoking everywhere. She calls triple A for help with her car.	 query:event: Jill needs help fixing her car starts before she calls triple A for help with her car  	pred: negative	 label: positive
story:  Jill is driving down the road. Her car starts to make a strange noise. She pulls over and checks the hood. It's smoking everywhere. She calls triple A for help with her car.	 query:event: Jill needs help fixing her car starts after she calls triple A for help with her car  	pred: positive	 label: negative
story:  Jack has a test in science. He has been studying all week. He still does not feel ready. Jack got to his test and failed. He begged his teacher for a retake and she said no.	 query:event: Jack stayed up all night studying starts after He study  	pred: negative	 label: positive
story:  Jack has a test in science. He has been studying all week. He still does not feel ready. Jack got to his test and failed. He begged his teacher for a retake and she said no.	 query:event: Jack stayed up all night studying starts before He study  	pred: positive	 label: negative
story:  Tara's daughter Lea informed her that she needed candy. She learned that Lea's class was having a party. Tara made plans on going to the store for some. She wrote it down on a list so they wouldn't forget. "Later that afternoon, they were able to pick some up."	 query:event: Lea was excited about the party. starts after Tara make plans on going to the store for some  	pred: positive	 label: negative
story:  Nicole was watching a movie on her iPad. She heard a noise in the other end of the house. "She got up to check, and fell." "After picking up the iPad, Nicole realized the screen was cracked." She decided to take it to the store and see if it could be fixed.	 query:event: Nicole realized she left the door unlocked. starts after She decide to take it to the store and see if it could be fixed  	pred: negative	 label: positive
story:  Nicole was watching a movie on her iPad. She heard a noise in the other end of the house. "She got up to check, and fell." "After picking up the iPad, Nicole realized the screen was cracked." She decided to take it to the store and see if it could be fixed.	 query:event: Nicole realized she left the door unlocked. starts before She decide to take it to the store and see if it could be fixed  	pred: positive	 label: negative
story:  Maggie was a pregnant lady. One morning she was trying to brush her teeth. "No matter what she did, the toothbrush made her gag." The more she tried the more nausea she felt. She eventually gave up and just used mouthwash.	 query:event: Maggie stopped brushing her teeth starts after stopping the toothbrush  	pred: negative	 label: positive
story:  Thomas was up for an award. He thought he was a shoe in and everyone else did too. " When the name was called for the award though, it wasn't his." Thomas felt sad but he didn't give up. Next year Thomas worked even harder and won the award.	 query:event: Thomas asked what he needed to do better starts before Thomas be up for an award  	pred: positive	 label: negative
story:  I sent my friend a thank you gift. "A few weeks later, she posted a picture on facebook." It was a picture of a lasane in the pan I had sent her. It said Leah's Kickasserole on the side. She posted how much she loved the dish.	 query:event: My friend tasted her lasange starts after It say Leah 's Kickasserole on the side  	pred: negative	 label: positive
story:  I sent my friend a thank you gift. "A few weeks later, she posted a picture on facebook." It was a picture of a lasane in the pan I had sent her. It said Leah's Kickasserole on the side. She posted how much she loved the dish.	 query:event: My friend tasted her lasange starts before It say Leah 's Kickasserole on the side  	pred: positive	 label: negative
story:  Dana was a new preschool teacher in Texas. She loved her job and students very much. Dana always kept a watchful eye over her students. During nap time one student began to have a seizure. Dana reacted immediately and saved her student's life!	 query:event: Dana's student was alive starts before She love her job and students very much  	pred: negative	 label: positive
story:  Dana was a new preschool teacher in Texas. She loved her job and students very much. Dana always kept a watchful eye over her students. During nap time one student began to have a seizure. Dana reacted immediately and saved her student's life!	 query:event: Dana's student was alive starts after She love her job and students very much  	pred: positive	 label: negative
story:  Henry had several seconds to shoot the ball. He couldn't get through the double team so he ran through them. He got fouled by one of the opponents but ended up throwing the ball. The ball landed into the hoop. His team ran towards him to congratulate him.	 query:event: Henry was running very fast starts after he couldn't get through the double team  	pred: negative	 label: positive
story:  Henry had several seconds to shoot the ball. He couldn't get through the double team so he ran through them. He got fouled by one of the opponents but ended up throwing the ball. The ball landed into the hoop. His team ran towards him to congratulate him.	 query:event: Henry was running very fast starts before he couldn't get through the double team  	pred: positive	 label: negative
story:  Carter slept in his crib. "In the morning, he climbed out of it." His dad transitioned the bed into a toddler bed. Carter discovered that he could just get into his bed without climbing. Carter now sleeps in his toddler bed.	 query:event: Carter wore pajamas starts before Carter sleep in his crib  	pred: negative	 label: positive
story:  Carter slept in his crib. "In the morning, he climbed out of it." His dad transitioned the bed into a toddler bed. Carter discovered that he could just get into his bed without climbing. Carter now sleeps in his toddler bed.	 query:event: Carter wore pajamas starts after Carter sleep in his crib  	pred: positive	 label: negative
story:  Everyone got together. They were celebrating Chris's 13th birthday. "However, some of his relatives were arguing about money." One ended up being punched. Chris's father had to kick them out of the house.	 query:event: Chris had a father. starts before One end being punched  	pred: negative	 label: positive
story:  Everyone got together. They were celebrating Chris's 13th birthday. "However, some of his relatives were arguing about money." One ended up being punched. Chris's father had to kick them out of the house.	 query:event: Chris had a father. starts after One end being punched  	pred: positive	 label: negative
story:  Jenny was crouched behind the fence. She had hand-packed thirty snowballs. Her brother came around the corner. Jenny stood to throw her snowballs. Five armed boys showered her with snowballs.	 query:event: Jenney held snow in her hands starts before She had hand-packed thirty snowballs.  	pred: negative	 label: positive
story:  Jenny was crouched behind the fence. She had hand-packed thirty snowballs. Her brother came around the corner. Jenny stood to throw her snowballs. Five armed boys showered her with snowballs.	 query:event: Jenney held snow in her hands starts after She had hand-packed thirty snowballs.  	pred: positive	 label: negative
story:  Milwaukee resident Wallace wanted to go swimming in the lake. "It was early September, and he donned his swim trunks." He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	 query:event: Wallace wanted to swim in early September. starts after Wallace go home unsatisfied  	pred: negative	 label: positive
story:  Milwaukee resident Wallace wanted to go swimming in the lake. "It was early September, and he donned his swim trunks." He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	 query:event: Wallace wanted to swim in early September. starts before Wallace go home unsatisfied  	pred: positive	 label: negative
story:  "My friend Joe has a son, 16." When his son was 13 he told his dad there was no summer reading. Joe believed his son. I went online and found the school did have summer reading. "Joe told his son to do the reading, plus one book."	 query:event: Joe was angry about his son's lie starts before Joe believe his son  	pred: negative	 label: positive
story:  "My friend Joe has a son, 16." When his son was 13 he told his dad there was no summer reading. Joe believed his son. I went online and found the school did have summer reading. "Joe told his son to do the reading, plus one book."	 query:event: Joe was angry about his son's lie starts after Joe believe his son  	pred: positive	 label: negative
story:  Ed was learning to play poker. His friends had thrown all their cards in. Wd looked so glum that they felt sure to win. But then Ed threw down his cards: full house! They groaned to see that he had already mastered the poker face.	 query:event: Ed was putting on a show starts before he looked glum  	pred: positive	 label: negative
story:  Sara and Joseph were planning their wedding. They were on a tight budget. They couldn't afford a three tiered cake. Sara ordered a one tier cake and baked matching cupcakes. The cupcakes were a big hit amongst the guest.	 query:event: Sara and Joseph bought cupcake ingredients starts before Sara ordered a one tier cake and baked matching cupcakes.  	pred: negative	 label: positive
story:  I never sit in a chair normally. I sat down a minute ago and pulled my feet up. I balanced one foot underneath me. Then I put my knee up by my chest. I sat there resembling a monkey while I worked.	 query:event: One foot was touching the floor starts before I balanced one foot underneath me  	pred: negative	 label: positive
story:  I never sit in a chair normally. I sat down a minute ago and pulled my feet up. I balanced one foot underneath me. Then I put my knee up by my chest. I sat there resembling a monkey while I worked.	 query:event: One foot was touching the floor starts after I balanced one foot underneath me  	pred: positive	 label: negative
story:  Nola was slim and pretty. She wanted to be a model. She contacted an agency and showed them some photos. "But to her surprise, the agency did not sign her!" They told Nola she was too short to model.	 query:event: Nola takes some photos of herself modeling starts after She want to be a model  	pred: negative	 label: positive
story:  I work hard everyday to be independent. Sometimes I don't have anything to show how hard I work. I treat myself to fast bard when I can. I steal salt and pepper packets from restaurants. I fill my home salt and pepper shakers with stolen condiment packets.	 query:event: I return home from the restaurant. starts after I steal salt and pepper packets from the restaurant.  	pred: negative	 label: positive
story:  Tim and John were good friends. They desired to play a game together. Tim mentioned he had dice in his pocket. John suggested they play dice. They played dice.	 query:event: John's favorite game was dice. starts before Tim and John be good friends  	pred: negative	 label: positive
story:  Tim and John were good friends. They desired to play a game together. Tim mentioned he had dice in his pocket. John suggested they play dice. They played dice.	 query:event: John's favorite game was dice. starts after Tim and John be good friends  	pred: positive	 label: negative
story:  The grocery store near Amy's house is always crowded in the summer. The tourists came in droves and bought out all the condiments. "Amy just wanted to buy some milk, but she got stuck in a long line." "Every time she switched lines, they just got longer!" "Finally, Amy decided to eat her cereal without milk instead."	 query:event: Amy did not enjoy her cereal starts after she decided to eat her cereal without milk instead  	pred: negative	 label: positive
story:  The grocery store near Amy's house is always crowded in the summer. The tourists came in droves and bought out all the condiments. "Amy just wanted to buy some milk, but she got stuck in a long line." "Every time she switched lines, they just got longer!" "Finally, Amy decided to eat her cereal without milk instead."	 query:event: Amy did not enjoy her cereal starts before she decided to eat her cereal without milk instead  	pred: positive	 label: negative
story:  Glenn bought his cats a feather toy. The cats seemed to love when Glenn played with them with the toy. "Eventually, though, they stole it and hid under the bed with it." "When Glenn finally retrieved the toy, the cats had torn it apart." He had to get them a new one the next day.	 query:event: Glenn owns a bed starts after The cats seem to love  	pred: negative	 label: positive
story:  Glenn bought his cats a feather toy. The cats seemed to love when Glenn played with them with the toy. "Eventually, though, they stole it and hid under the bed with it." "When Glenn finally retrieved the toy, the cats had torn it apart." He had to get them a new one the next day.	 query:event: Glenn owns a bed starts before The cats seem to love  	pred: positive	 label: negative
story:  Daniel was setting up for Thanksgiving dinner. She needed to arrange place cards for everyone. At first she put her brother and uncle near each other. "Then, her sister warned her that the two had been fighting." She managed to change the arrangement right before they arrived.	 query:event: it is thanksgiving day starts before she put her brother and uncle near each other  	pred: negative	 label: positive
story:  Daniel was setting up for Thanksgiving dinner. She needed to arrange place cards for everyone. At first she put her brother and uncle near each other. "Then, her sister warned her that the two had been fighting." She managed to change the arrangement right before they arrived.	 query:event: it is thanksgiving day starts after she put her brother and uncle near each other  	pred: positive	 label: negative
story:  Nicole was watching a movie on her iPad. She heard a noise in the other end of the house. "She got up to check, and fell." "After picking up the iPad, Nicole realized the screen was cracked." She decided to take it to the store and see if it could be fixed.	 query:event: Nicole dropped her iPad as she fell starts after she fell  	pred: negative	 label: positive
story:  Jeremy had never tried Mexican food. One day his friends took him to an authentic Mexican restaurant. Jeremy decided to try the cheese enchiladas with rice and beans. He thought his meal was delicious. Jeremy went back several times afterward to try other entrees.	 query:event: Jeremy ordered dessert starts after he thought his meal was delicious  	pred: negative	 label: positive
story:  Jeremy had never tried Mexican food. One day his friends took him to an authentic Mexican restaurant. Jeremy decided to try the cheese enchiladas with rice and beans. He thought his meal was delicious. Jeremy went back several times afterward to try other entrees.	 query:event: Jeremy ordered dessert starts before he thought his meal was delicious  	pred: positive	 label: negative
